user_id,email,signup_timestamp,role,plan_type,acquisition_channel,country
U0001,user1@example.com,13-04-2023,Recruiter,paid,Website,India
U0002,user2@example.com,29-06-2023,HR,free,Referral,Germany
U0003,user3@example.com,03-04-2023,Analyst,free,Referral,US
U0004,user4@example.com,15-01-2023,Recruiter,trial,Website,India
U0005,user5@example.com,17-04-2023,Analyst,paid,Website,India
U0006,user6@example.com,13-03-2023,Recruiter,trial,Referral,UK
U0007,user7@example.com,21-01-2023,Analyst,trial,Website,US
U0008,user8@example.com,13-04-2023,Founder,free,LinkedIn,US
U0009,user9@example.com,02-05-2023,Analyst,trial,LinkedIn,Germany
U0010,user10@example.com,16-03-2023,Founder,paid,Referral,UK
U0011,user11@example.com,29-03-2023,Founder,free,Event,UK
U0012,user12@example.com,27-04-2023,Analyst,trial,Referral,UK
U0013,user13@example.com,10-04-2023,Founder,paid,Referral,UK
U0014,user14@example.com,14-04-2023,HR,trial,Event,US
U0015,user15@example.com,01-06-2023,Founder,trial,Event,US
U0016,user16@example.com,11-05-2023,Recruiter,trial,Event,India
U0017,user17@example.com,30-05-2023,Analyst,free,LinkedIn,India
U0018,user18@example.com,22-02-2023,HR,free,Website,UK
U0019,user19@example.com,02-01-2023,Analyst,paid,LinkedIn,UK
U0020,user20@example.com,29-03-2023,Recruiter,paid,Website,UK
U0021,user21@example.com,07-06-2023,Recruiter,paid,LinkedIn,India
U0022,user22@example.com,07-02-2023,Recruiter,paid,Website,Germany
U0023,user23@example.com,10-05-2023,Founder,trial,LinkedIn,Germany
U0024,user24@example.com,21-01-2023,Founder,trial,Event,India
U0025,user25@example.com,10-06-2023,Analyst,trial,Referral,India
U0026,user26@example.com,27-02-2023,Analyst,trial,LinkedIn,India
U0027,user27@example.com,22-01-2023,HR,trial,Website,India
U0028,user28@example.com,30-03-2023,HR,trial,Event,India
U0029,user29@example.com,18-02-2023,Analyst,paid,LinkedIn,India
U0030,user30@example.com,28-02-2023,Founder,free,LinkedIn,UK
U0031,user31@example.com,19-06-2023,Recruiter,free,Event,UK
U0032,user32@example.com,15-01-2023,Analyst,free,LinkedIn,UK
U0033,user33@example.com,24-06-2023,HR,trial,Referral,UK
U0034,user34@example.com,20-02-2023,Founder,free,LinkedIn,India
U0035,user35@example.com,18-04-2023,Analyst,free,Referral,Germany
U0036,user36@example.com,24-02-2023,Analyst,trial,Referral,US
U0037,user37@example.com,05-03-2023,Founder,free,Event,India
U0038,user38@example.com,11-05-2023,Analyst,trial,LinkedIn,US
U0039,user39@example.com,20-02-2023,Founder,free,Event,Germany
U0040,user40@example.com,15-05-2023,Recruiter,free,LinkedIn,UK
U0041,user41@example.com,21-01-2023,Founder,paid,LinkedIn,Germany
U0042,user42@example.com,14-03-2023,Founder,free,Website,India
U0043,user43@example.com,16-06-2023,Founder,free,LinkedIn,UK
U0044,user44@example.com,18-01-2023,Analyst,trial,Event,India
U0045,user45@example.com,12-05-2023,Analyst,trial,Referral,UK
U0046,user46@example.com,30-03-2023,Founder,free,LinkedIn,US
U0047,user47@example.com,01-03-2023,Analyst,trial,Website,US
U0048,user48@example.com,14-01-2023,HR,free,Event,US
U0049,user49@example.com,09-01-2023,HR,free,LinkedIn,Germany
U0050,user50@example.com,31-03-2023,Analyst,trial,Event,India
U0051,user51@example.com,22-02-2023,Analyst,trial,Website,Germany
U0052,user52@example.com,10-05-2023,Founder,trial,Website,US
U0053,user53@example.com,25-03-2023,Recruiter,trial,Event,India
U0054,user54@example.com,02-04-2023,Analyst,paid,LinkedIn,US
U0055,user55@example.com,21-04-2023,HR,trial,Referral,Germany
U0056,user56@example.com,21-06-2023,Founder,free,Website,Germany
U0057,user57@example.com,08-01-2023,Analyst,trial,LinkedIn,Germany
U0058,user58@example.com,24-06-2023,HR,free,LinkedIn,US
U0059,user59@example.com,04-02-2023,HR,free,Referral,India
U0060,user60@example.com,22-03-2023,Recruiter,free,Website,India
U0061,user61@example.com,13-06-2023,Founder,free,Website,US
U0062,user62@example.com,19-02-2023,Founder,paid,LinkedIn,India
U0063,user63@example.com,14-04-2023,Recruiter,paid,LinkedIn,US
U0064,user64@example.com,12-05-2023,Recruiter,trial,Referral,India
U0065,user65@example.com,02-01-2023,Founder,free,Referral,UK
U0066,user66@example.com,14-05-2023,Founder,free,Website,UK
U0067,user67@example.com,23-02-2023,Analyst,free,Event,Germany
