user_id,email,signup_timestamp,role,plan_type,acquisition_channel,country
U0001,user1@example.com,2023-04-13,Recruiter,paid,Website,India
U0002,user2@example.com,2023-06-29,HR,free,Referral,Germany
U0003,user3@example.com,2023-04-03,Analyst,free,Referral,US
U0004,user4@example.com,2023-01-15,Recruiter,trial,Website,India
U0005,user5@example.com,2023-04-17,Analyst,paid,Website,India
U0006,user6@example.com,2023-03-13,Recruiter,trial,Referral,UK
U0007,user7@example.com,2023-01-21,Analyst,trial,Website,US
U0008,user8@example.com,2023-04-13,Founder,free,LinkedIn,US
U0009,user9@example.com,2023-05-02,Analyst,trial,LinkedIn,Germany
U0010,user10@example.com,2023-03-16,Founder,paid,Referral,UK
U0011,user11@example.com,2023-03-29,Founder,free,Event,UK
U0012,user12@example.com,2023-04-27,Analyst,trial,Referral,UK
U0013,user13@example.com,2023-04-10,Founder,paid,Referral,UK
U0014,user14@example.com,2023-04-14,HR,trial,Event,US
U0015,user15@example.com,2023-06-01,Founder,trial,Event,US
U0016,user16@example.com,2023-05-11,Recruiter,trial,Event,India
U0017,user17@example.com,2023-05-30,Analyst,free,LinkedIn,India
U0018,user18@example.com,2023-02-22,HR,free,Website,UK
U0019,user19@example.com,2023-01-02,Analyst,paid,LinkedIn,UK
U0020,user20@example.com,2023-03-29,Recruiter,paid,Website,UK
U0021,user21@example.com,2023-06-07,Recruiter,paid,LinkedIn,India
U0022,user22@example.com,2023-02-07,Recruiter,paid,Website,Germany
U0023,user23@example.com,2023-05-10,Founder,trial,LinkedIn,Germany
U0024,user24@example.com,2023-01-21,Founder,trial,Event,India
U0025,user25@example.com,2023-06-10,Analyst,trial,Referral,India
U0026,user26@example.com,2023-02-27,Analyst,trial,LinkedIn,India
U0027,user27@example.com,2023-01-22,HR,trial,Website,India
U0028,user28@example.com,2023-03-30,HR,trial,Event,India
U0029,user29@example.com,2023-02-18,Analyst,paid,LinkedIn,India
U0030,user30@example.com,2023-02-28,Founder,free,LinkedIn,UK
U0031,user31@example.com,2023-06-19,Recruiter,free,Event,UK
U0032,user32@example.com,2023-01-15,Analyst,free,LinkedIn,UK
U0033,user33@example.com,2023-06-24,HR,trial,Referral,UK
U0034,user34@example.com,2023-02-20,Founder,free,LinkedIn,India
U0035,user35@example.com,2023-04-18,Analyst,free,Referral,Germany
U0036,user36@example.com,2023-02-24,Analyst,trial,Referral,US
U0037,user37@example.com,2023-03-05,Founder,free,Event,India
U0038,user38@example.com,2023-05-11,Analyst,trial,LinkedIn,US
U0039,user39@example.com,2023-02-20,Founder,free,Event,Germany
U0040,user40@example.com,2023-05-15,Recruiter,free,LinkedIn,UK
U0041,user41@example.com,2023-01-21,Founder,paid,LinkedIn,Germany
U0042,user42@example.com,2023-03-14,Founder,free,Website,India
U0043,user43@example.com,2023-06-16,Founder,free,LinkedIn,UK
U0044,user44@example.com,2023-01-18,Analyst,trial,Event,India
U0045,user45@example.com,2023-05-12,Analyst,trial,Referral,UK
U0046,user46@example.com,2023-03-30,Founder,free,LinkedIn,US
U0047,user47@example.com,2023-03-01,Analyst,trial,Website,US
U0048,user48@example.com,2023-01-14,HR,free,Event,US
U0049,user49@example.com,2023-01-09,HR,free,LinkedIn,Germany
U0050,user50@example.com,2023-03-31,Analyst,trial,Event,India
U0051,user51@example.com,2023-02-22,Analyst,trial,Website,Germany
U0052,user52@example.com,2023-05-10,Founder,trial,Website,US
U0053,user53@example.com,2023-03-25,Recruiter,trial,Event,India
U0054,user54@example.com,2023-04-02,Analyst,paid,LinkedIn,US
U0055,user55@example.com,2023-04-21,HR,trial,Referral,Germany
U0056,user56@example.com,2023-06-21,Founder,free,Website,Germany
U0057,user57@example.com,2023-01-08,Analyst,trial,LinkedIn,Germany
U0058,user58@example.com,2023-06-24,HR,free,LinkedIn,US
U0059,user59@example.com,2023-02-04,HR,free,Referral,India
U0060,user60@example.com,2023-03-22,Recruiter,free,Website,India
U0061,user61@example.com,2023-06-13,Founder,free,Website,US
U0062,user62@example.com,2023-02-19,Founder,paid,LinkedIn,India
U0063,user63@example.com,2023-04-14,Recruiter,paid,LinkedIn,US
U0064,user64@example.com,2023-05-12,Recruiter,trial,Referral,India
U0065,user65@example.com,2023-01-02,Founder,free,Referral,UK
U0066,user66@example.com,2023-05-14,Founder,free,Website,UK
U0067,user67@example.com,2023-02-23,Analyst,free,Event,Germany
U0068,user68@example.com,2023-04-16,Analyst,free,Website,UK
U0069,user69@example.com,2023-01-04,Recruiter,trial,LinkedIn,UK
U0070,user70@example.com,2023-02-23,Analyst,trial,Website,UK
U0071,user71@example.com,2023-05-26,HR,trial,Event,US
U0072,user72@example.com,2023-02-13,Analyst,free,Referral,UK
U0073,user73@example.com,2023-06-11,Analyst,paid,Event,UK
U0074,user74@example.com,2023-01-14,HR,trial,Event,Germany
U0075,user75@example.com,2023-04-05,Recruiter,trial,Event,UK
U0076,user76@example.com,2023-02-17,HR,trial,Referral,UK
U0077,user77@example.com,2023-01-15,Analyst,free,Event,India
U0078,user78@example.com,2023-02-09,Recruiter,free,Event,Germany
U0079,user79@example.com,2023-03-23,Analyst,free,Event,Germany
U0080,user80@example.com,2023-04-21,HR,trial,LinkedIn,Germany
U0081,user81@example.com,2023-02-22,HR,free,Event,Germany
U0082,user82@example.com,2023-01-24,Analyst,free,Referral,Germany
U0083,user83@example.com,2023-06-03,Founder,free,Event,Germany
U0084,user84@example.com,2023-05-04,Founder,free,Event,US
U0085,user85@example.com,2023-02-10,HR,paid,Referral,UK
U0086,user86@example.com,2023-06-06,HR,trial,Event,Germany
U0087,user87@example.com,2023-01-15,Founder,free,Referral,UK
U0088,user88@example.com,2023-02-14,Founder,free,Event,UK
U0089,user89@example.com,2023-03-06,Analyst,free,Referral,US
U0090,user90@example.com,2023-03-30,Analyst,free,Event,Germany
U0091,user91@example.com,2023-03-12,Founder,free,Event,India
U0092,user92@example.com,2023-01-09,Analyst,free,LinkedIn,US
U0093,user93@example.com,2023-03-29,Analyst,free,LinkedIn,India
U0094,user94@example.com,2023-05-09,Recruiter,trial,Event,UK
U0095,user95@example.com,2023-05-16,Analyst,trial,Event,UK
U0096,user96@example.com,2023-03-04,HR,free,Website,US
U0097,user97@example.com,2023-05-19,Analyst,free,Referral,US
U0098,user98@example.com,2023-03-22,Analyst,trial,Website,India
U0099,user99@example.com,2023-05-16,Founder,trial,LinkedIn,Germany
U0100,user100@example.com,2023-06-12,HR,paid,LinkedIn,India
U0101,user101@example.com,2023-06-12,Analyst,trial,LinkedIn,US
U0102,user102@example.com,2023-02-02,Analyst,free,LinkedIn,India
U0103,user103@example.com,2023-05-03,Recruiter,free,Event,US
U0104,user104@example.com,2023-01-05,Analyst,trial,LinkedIn,India
